   ,CHANGED,INTERNAL CODE,ENGLISH,ENGLISH HEALTH,ENGLISH PERSONNEL,NETHERLANDS,NL HEALTH,NL PERSONNEL,NORWEGIAN,NOR HEALTH,NOR PERSONNEL,SWEDISH,SWE HEALTH,SWE PERSONNEL,KINESISK,KIN HELSE,KIN PERSONELL,DEBUG,DEBUG HEALTH,DEBUG PERSONELL,GERMAN,GERMAN HEALTH,GERMAN PERSONELL,,
763,3/9/2012,findit.label.devices.configure.command.reportInterval,Report Interval,,,Rapport Interval,,,Rapportintervall,,,Rapportintervall,,,Report Interval,,,2249,,,Berichtintervall,,,,
764,3/9/2012,findit.label.devices.configure.command.description.reportInterval,Update the device's report interval.,,,Rapport interval van het sensor-apparaat updaten.,,,Oppdatere enhetens rapporteringsintervall.,,,Uppdatera sensorenhetens rapporteringsintervall,,,,,,2250,,,Berichtintervall des Geräts aktualisieren,,,,
765,3/9/2012,findit.label.devices.configure.command.reportInterval.parameter.interval,Interval,,,Interval,,,Intervall,,,Intervall,,,Interval,,,2251,,,Intervall,,,,
766,3/9/2012,findit.label.devices.configure.command.eventTriggers,Event Triggers,,,Event Triggers,,,Hendelsesutløsere,,,Händelseutlösare,,,Event Triggers,,,2252,,,Ereignisauslöser,,,,
767,3/9/2012,findit.label.devices.configure.command.eventTriggers.parameter.threshold,Accelerometer threshold,,,Accelerometer drempel,,,Akselerometergrense,,,Accelerometergräns,,,Accelerometer threshold,,,2253,,,Schwellenwert des Geschwindigkeitsmessers,,,,
768,3/9/2012,findit.label.devices.commands.none_supported,The selected devices does not support any commands.,,,De geselecteerde apparaten ondersteunt geen commando's.,,,De valgte enhetene støtter ingen kommandoer.,,,De valda enheterna stödjer inga kommandon,,,The selected devices does not support any commands.,,,2254,,,Das ausgewählte Gerät unterstützt überhaupt keine Befehle,,,,
769,3/9/2012,findit.label.devices.configure.command.setPassword,Change device password,,,Apparaat wachtwoord wijzigen,,,Endre passord på enheten,,,Ändra lösenord på enheten,,,Change device password,,,2255,,,Gerätepasswort ändern,,,,
770,3/9/2012,findit.label.devices.configure.command.description.setPassword,Change the password used to communicate with the device.,,,Het wachtwoord voor communicatie met het apparaat wijzigen,,,Endre passord som blir brukt til å kommunisere med enheten.,,,Ändra lösenordet som används till att kommunicera med enheten,,,Change the password used to communicate with the device.,,,2256,,,"Das Passwort ändern, das für die Kommunikation mit dem Gerät verwendet wird.",,,,
771,3/9/2012,findit.label.devices.configure.command.setPassword.parameter.oldPassword,Old password,,,Oude wachtwoord,,,Gammelt passord,,,Gammalt lösenord,,,旧密码,,,2257,,,Altes Passwort,,,,
772,3/9/2012,findit.label.devices.configure.command.setPassword.parameter.password,New password,,,Nieuwe wachtwoord,,,Nytt passord,,,Nytt lösenord,,,新密码,,,2258,,,Neues Passwort,,,,
773,3/9/2012,findit.label.devices.configure.unit.none,.,,,.,,,,,,,,,。,,,2259,,,,,,,
774,3/9/2012,findit.label.devices.configure.command.sendServicePhoneNumber,Update SMS-number,,,SMS nummer updaten,,,Oppdater SMS-nummer,,,Uppdatera SMS-nummer,,,Update SMS-number,,,2260,,,SMS-Nummer aktualisieren,,,,
775,3/9/2012,findit.label.devices.configure.command.description.sendServicePhoneNumber,Update the device with the SMS-number of the SmartTrack service. Please note that this will deactivate the alarm capability which must be enabled by sending a new command.,,,"Het apparaat updaten met het SMS nummer van de SmartTracker service. Houd er rekening mee dat dit de alarmfunctionaliteit uischakeld, deze moet weer ingeschakeld worden met een nieuwe opdracht.",,,Oppdater enheten med SmartTracks SMS-nummer. Legg merke til at dette vil deaktivere enhetens alarmfunksjonalitet. Denne må så aktiveres igjen ved å sende en ny kommando.,,,Uppdatera enheten med SmartTracks SMS-nummer. Lägg märke till att detta kommer inaktivera enhetens larmfunktionalitet. Denna måste aktiveras igen genom att sända ett nytt kommando.,,,Update the device with the SMS-number of the SmartTrack service. Please note that this will deactivate the alarm capability which must be enabled by sending a new command.,,,2261,,,"Aktualisieren des Geräts mit der SMS-Nummer vom SmartTracker service. Bitte beachten Sie, dass das die Alarmfähigkeit deaktiviert, die danach wieder mit dem Senden einer neuen Anweisung aktiviert werden muss.",,,,
775,6/13/2012,findit.label.devices.configure.command.setSMSInterval,Set SMS update frequency,,,SMS update frequentie instellen,,,Sett SMS-oppdateringsfrekvens,,,Sätt SMS-uppdateringsfrekvens,,,Set SMS update frequency,,,2262,,,Einstellen der SMS-Updatefrequenz,,,,
775,6/13/2012,findit.label.devices.configure.command.description.setSMSInterval,Set interval in minutes between status updates over SMS.,,,Stel het aantal SMS updates dat dit apparaat per dag stuurt in.,,,Sett interval i minutter mellom statusoppdateringer over SMS.,,,Justera antalet uppdateringar som enheten ska sända via SMS per dag,,,Adjust the number of updates the device will send over SMS per day.,,,2263,,,"Das Intervall in Minuten setzen, in dem Statusaktualisierungen über SMS gesendet werden",,,,
775,6/13/2012,findit.label.devices.configure.command.setSMSInterval.parameter.updatesPerDaySMS,Interval,,,SMS per dag,,,Intervall,,,SMS per dag,,,SMS per day,,,2264,,,SMS pro Tag,,,,
775,6/13/2012,findit.label.devices.configure.command.setGPRSInterval,Set GPRS update frequency,,,GPRS update frequentie instellen,,,Sett GPRS-oppdateringsfrekvens,,,Sätt GPRS-uppdateringsfrekvens,,,Set GPRS update frequency,,,2265,,,GPRS-Updatefrequenz einstellen,,,,
775,6/13/2012,findit.label.devices.configure.command.description.setGPRSInterval,Set interval in minutes between status updates over GPRS.,,,Stel het aantal GPRS updates dat dit apparaat per dag stuurt in.,,,Sett interval i minutter mellom statusoppdateringer over GPRS.,,,Sätt intervall i minuter mellan statusuppdateringar,,,Adjust the number of updates the device will send over GPRS per day.,,,2266,,,"Den Intervall setzen, in dem Statusaktualisierungen über GPRS gesendet werden",,,,
775,6/13/2012,findit.label.devices.configure.command.setGPRSInterval.parameter.updatesPerDayGPRS,Interval,,,GPRS berichten per dag,,,Intervall,,,GPRS per dag,,,GPRS messages per day,,,2267,,,GPRS-Berichte pro Tag,,,,
775,6/13/2012,findit.label.devices.configure.command.setupDeviceIdteq,Setup device,,,Apparaat instellen,,,Oppsett,,,Installera,,,Setup device,,,2268,,,Gerät einrichten,,,,
775,6/13/2012,findit.label.devices.configure.command.description.setupDeviceIdteq,Send the necessary information the device needs to communicate with SmartTracker over GPRS.,,,Stuur het apparaat de informatie die noodzakelijk is voor het apparaat om over GPRS met SmartTracker te communiceren,,,Send over nødvendig informasjon enheten trenger for å kommunisere med SmartTracker over GPRS.,,,Skicka den nödvändiga information som enheten behöver för att kommunicera med SmartTracker över GPRS.,,,Send the necessary information the device needs to communicate with SmartTracker over GPRS.,,,2269,,,"Sende die nötigen Informationen, die das Gerät benötigt, um über GPRS mit SmartTracker zu kommunizieren.",,,,
775,6/13/2012,findit.label.devices.configure.command.setupDeviceIdteq.parameter.apn,APN,,,APN,,,APN,,,APN,,,APN,,,2270,,,APN,,,,
776,3/9/2012,findit.label.devices.configure.command.activateAlarmCapability,Activate alarm capability,,,Alarmfunctionaliteit activeren,,,Aktiver alarmfunksjonalitet,,,Aktivera alarmfunktionalitet,,,Activate alarm capability,,,2271,,,Alarmfunktionalität aktivieren,,,,
777,3/9/2012,findit.label.devices.configure.command.description.activateAlarmCapability,When enabled the device will send alarms.,,,Wanneer geactiveerd zal het apparaat alarmen versturen,,,Hvis aktivert så vil enheten sende alarmer.,,,När detta är aktiverad så kommer enheten att sända larm,,,When enabled the device will send alarms.,,,2272,,,Bei Aktivierung wird das Gerät Alarme auslösen,,,,
778,3/9/2012,findit.label.devices.configure.command.deactivateAlarmCapability,Deactivate alarm capability,,,Alarmfunctionaliteit deactiveren,,,Deaktiver alarmfunksjonalitet,,,Inaktivera alarmfunktionalitet,,,Deactivate alarm capability,,,2273,,,Alarmfunktionalität deaktivieren,,,,
779,3/9/2012,findit.label.devices.configure.command.description.deactivateAlarmCapability,When disabled the device will not send any alarms.,,,Wanneer gedeactiveerd zal het apparaat geen alarmen versturen,,,Hvis deaktivert så vil ikke enheten sende noen alarmer.,,,När detta är avaktiverad så kommer enheten inte att sända larm,,,When disabled the device will not send any alarms.,,,2274,,,Bei Deaktivierung wird das Gerät keine Alarme auslösen,,,,
780,3/9/2012,findit.label.devices.configure.command.reportDeviceState,Request device state,,,Apparaat status opvragen,,,Anmod enhetstilstand,,,Begär enhetsstatus,,,Request device state,,,2275,,,Gerätestatus abfragen,,,,
781,3/9/2012,findit.label.devices.configure.command.description.reportDeviceState,"Send a message to the device, requesting the state of the device. The response will be visible in the device history.",,,"Stuur een bericht naar het apparaat, hierin wordt om de apparaat status gevraagd. De resultaten zijn terug te vinden in de geschiedenis",,,Send en melding til enheten som anmoder informasjon om tilstanden til enheten. Responsen er synlig i enhetens historie.,,,"Sänd ett meddelande till enheten, som begär enhetens status. Svaret kan ses i enhetshistoriken",,,"Send a message to the device, requesting the state of the device. The response will be visible in the device history.",,,2276,,,"Eine Nachricht an das Gerät senden, um den Status abzufragen. Die Nachricht wird in der Chronik des Geräts angezeigt.",,,,
780,3/9/2012,findit.label.devices.configure.command.reboot,Reboot the device,,,Apparaat opnieuw opstarten,,,Omstart,,,Omstart,,,Reboot the device,,,2277,,,Das Gerät neu starten,,,,
781,3/9/2012,findit.label.devices.configure.command.description.reboot,Send a message which will reboot the device.,,,Stuur een bericht dat het apparaat opnieuw doet opstarten naar het apparaat.,,,Send en melding til enheten som vil starte enheten på nytt.,,,Skicka ett meddelande som kommer starta om enheten,,,Send a message which will reboot the device.,,,2278,,,"Eine Nachricht an das Gerät senden, um das Gerät neu zu starten.",,,,
780,3/9/2012,findit.label.devices.configure.command.reportDeviceStatus,Request device status,,,Apparaat instellingen opvragen,,,Anmod enhetsstatus,,,Begär enhetsstatus,,,Request device status,,,2279,,,Geräteeinstellungen abfragen,,,,
781,3/9/2012,findit.label.devices.configure.command.description.reportDeviceStatus,"Send a message to the device, requesting a status of current settings. The response will be visible in the device history.",,,"Stuur een bericht naar het apparaat, hierin wordt om de apparaat instellingen gevraagd. De resultaten zijn terug te vinden in de geschiedenis",,,Send en melding til enheten som anmoder informasjon om innstillinger. Responsen er synlig i enhetens historie.,,,"Sänd ett meddelande till enheten, som begär status om nuvarande inställningar. Svaret kan ses i enhetshistoriken",,,"Send a message to the device, requesting a status of current settings. The response will be visible in the device history.",,,2280,,,"Eine Nachricht an das Gerät senden, um die Geräteeinstellungen abzufragen. Die Resultate werden in der Chronik des Geräts angezeigt.",,,,
782,3/9/2012,findit.label.devices.configure.command.toggleGps,Toggle GPS,,,GPS omschakelen,,,Skru GPS av/på,,,Stäng av/Sätt på GPS,,,Toggle GPS,,,2281,,,GPS umschalten,,,,
783,3/9/2012,findit.label.devices.configure.command.description.toggleGps,"Turn the GPS component on or off, depending on its current state.",,,"Het GPS element aan of uit zetten, licht aan de huidige status",,,"Skru GPS-komponenten av eller på, avhengig av nåværende status.",,,"Stäng av eller sätt på GPS-komponenten, beroende på dess nuvarande status",,,"Turn the GPS component on or off, depending on its current state.",,,2282,,,"GPS aktivieren oder deaktivieren, abhängig vom aktuellen Status.",,,,
784,3/9/2012,findit.label.devices.configure.command.forceGpsRead,Request GPS-location,,,GPS locatie opvragen,,,Anmod GPS-posisjon,,,Begär GPS-position,,,Request GPS-location,,,2283,,,GPS-Position abfragen.,,,,
785,3/9/2012,findit.label.devices.configure.command.description.forceGpsRead,With the GPS component turned on this request will make the device to send its current position.,,,Wanneer GPS aan staat zal het apparaat zijn huidige positie sturen.,,,Med GPS-komponenten påslått vil denne kommandoen få enheten til å sende sin nåværende posisjon.,,,"med GPS-komponenten påslagen, så kommer denna enhet att sända sin nuvarande position",,,With the GPS component turned on this request will make the device to send its current position.,,,2284,,,"Wenn GPS aktiv ist, kann mit dieser Abfrage die aktuelle Position des Geräts ermittelt werden.",,,,
784,3/9/2012,findit.label.devices.configure.command.updateFirmwareLocation,Update firmware FTP-server,,,,,,Oppdater firmware FTP-server,,,,,,,,,2285,,,,,,,
785,3/9/2012,findit.label.devices.configure.command.description.updateFirmwareLocation,Set the address of the FTP-server containing firmware updates.,,,,,,Sett adressen til FTP-serveren som holder firmware-oppdateringene.,,,,,,,,,2286,,,,,,,
786,3/9/2012,findit.label.devices.configure.command.uploadFirmware,Update firmware,,,Firmware updaten,,,Oppdater firmware,,,Uppdatera mjukvara,,,Update firmware,,,2287,,,Firmware aktualisieren,,,,
787,3/9/2012,findit.label.devices.configure.command.description.uploadFirmware,Update firmware. DO NOT use unless you are 100% sure.,,,Firmware updaten. NIET DOEN tenzij u 100% zeker bent.,,,Oppdaterer firmware. IKKE bruk med mindre du er 100% sikker.,,,Uppdatera mjukvara. GÖR EJ detta om du inte är 100% säker.,,,Update firmware. DO NOT use unless you are 100% sure.,,,2288,,,"Die Firmware wird aktualisiert. NICHT BENUTZEN, solange sie sich nicht zu 100% sicher sind.",,,,
788,3/9/2012,findit.label.devices.configure.command.uploadFirmware.parameter.firmwareVersion,Version,,,Versie,,,Versjon,,,Version,,,Version,,,2289,,,Version,,,,
789,3/9/2012,,,,,,,,,,,,,,,,,2290,,,,,,,
789,5/29/2012,findit.label.devices.sent_commands.sent_by,Sent by,,,Verstuurd door,,,Sendt av,,,Sänt av,,,Sent by,,,2291,,,Gesendet von,,,,
790,4/4/2012,findit.label.devices.sent_commands.status.unackable,Command sent,,,Verzonden,,,Kommando er sendt,,,Kommando är sänt,,,发送,,,2292,,,Versendet,,,,
790,4/4/2012,findit.label.devices.sent_commands.status.sent,Command sent,,,Verzonden,,,Kommando er sendt,,,Kommando är sänt,,,发送,,,2293,,,Versendet,,,,
790,4/4/2012,findit.label.devices.sent_commands.status.acked,Command confirmed by the device,,,Bevestigd,,,Kommando er bekreftet av enhet,,,Kommando är bekräftat av enhet,,,已确认,,,2294,,,Der Befehl wurde vom Gerät bestätigt,,,,
790,4/4/2012,findit.label.devices.sent_commands.status.deviceAckOk,Command confirmed by the device,,,Bevestigd,,,Kommando er bekreftet av enhet,,,Kommando är bekräftat av enhet,,,已确认,,,2295,,,Der Befehl wurde vom Gerät bestätigt,,,,
790,4/4/2012,findit.label.devices.sent_commands.status.waiting_ack,Waiting for confirmation from the device ..,,,Wachten ..,,,Venter på bekreftelse fra enhet ..,,,Väntar på bekräftelse från enhet ..,,,Waiting ..,,,2296,,,Warte auf Antwort…,,,,
790,4/4/2012,findit.label.devices.sent_commands.status.ackPending,Waiting for confirmation from the device ..,,,Wachten ..,,,Venter på bekreftelse fra enhet ..,,,Väntar på bekräftelse från enhet ..,,,Waiting ..,,,2297,,,Warte auf Antwort…,,,,
790,4/4/2012,findit.label.devices.sent_commands.status.waiting_delivery_ack,"Command sent, waiting for delivery confirmation ..",,,Wachten op levering ..,,,"Kommando sent, venter på å bekrefte levering ..",,,"Kommando sänt, väntar på leveransbekräftelse ..",,,Waiting for delivery ..,,,2298,,,"Die Nachricht wurde gesendet, warte auf Empfangsbestätigung…",,,,
790,4/4/2012,findit.label.devices.sent_commands.status.deliveryPending,"Command sent, waiting for delivery confirmation ..",,,Wachten op levering ..,,,"Kommando sent, venter på å bekrefte levering ..",,,"Kommando sänt, väntar på leveransbekräftelse ..",,,Waiting for delivery ..,,,2299,,,"Die Nachricht wurde gesendet, warte auf Empfangsbestätigung…",,,,
790,4/4/2012,findit.label.devices.sent_commands.status.delivered_waiting_ack,"Command delivered to the device, waiting for response ..",,,"Geleverd, wachten ..",,,"Kommando levert til enhet, venter på svar ..",,,"Kommando levererat till enhet, väntar på svar ..",,,"Delivered, waiting ..",,,2300,,,"Die Nachricht wurde gesendet, warte auf Antwort…",,,,
790,4/4/2012,findit.label.devices.sent_commands.status.deliveredWaitingForAck,"Command delivered to the device, waiting for response ..",,,"Geleverd, wachten ..",,,"Kommando levert til enhet, venter på svar ..",,,"Kommando levererat till enhet, väntar på svar ..",,,"Delivered, waiting ..",,,2301,,,"Die Nachricht wurde gesendet, warte auf Antwort…",,,,
790,4/27/2012,findit.label.devices.sent_commands.status.delivered,Command delivered to the device,,,Geleverd,,,Kommando levert til enhet,,,Kommando levererat till enhet,,,Delivered,,,2302,,,Die Nachricht wurde gesendet.,,,,
790,4/19/2012,findit.label.devices.sent_commands.status.unknown,Unknown status,,,Onbekend,,,Ukjent status,,,Okänd status,,,未知,,,2303,,,Unbekannt,,,,
790,4/19/2012,findit.label.devices.sent_commands.status.unknown_error,Unknown error while attempting to send the command,,,Onbekend,,,Ukjent feil under forsøk på å sende kommandoen,,,Okänt fel vid försök till att sända kommando,,,未知,,,2304,,,Unbekannter Fehler beim senden der Nachricht,,,,
790,4/19/2012,findit.label.devices.sent_commands.status.undelivered_nack,Failed to deliver the command to the device,,,Mislukt te leveren,,,Kunne ikke levere kommandoen til enheten,,,Misslyckades med att leverera kommando till enheten,,,Failed to deliver,,,2305,,,Das Senden der Nachricht ist fehlgeschlagen.,,,,
790,4/19/2012,findit.label.devices.sent_commands.status.deliveryFailed,Failed to deliver the command to the device,,,Mislukt te leveren,,,Kunne ikke levere kommandoen til enheten,,,Misslyckades med att leverera kommando till enheten,,,Failed to deliver,,,2306,,,Das Senden der Nachricht ist fehlgeschlagen.,,,,
790,4/19/2012,findit.label.devices.sent_commands.status.nacked,Command failed,,,Mislukt,,,Kommando mislykket,,,Kommando misslyckat,,,失败,,,2307,,,Fehlgeschlagen,,,,
790,4/19/2012,findit.label.devices.sent_commands.status.deviceAckNotOk,Command failed,,,Mislukt,,,Kommando mislykket,,,Kommando misslyckat,,,失败,,,2308,,,Fehlgeschlagen,,,,
790,4/4/2012,findit.site.title.devices.sent_commands,Command History,,,Opdracht Geschiedenis,,,Kommandohistorie,,,Kommandohistorik,,,指令历史记录,,,2309,,,Gesendete Anfragen,,,,
790,4/4/2012,findit.title.devices.sent_commands,Command History,,,Opdracht Geschiedenis,,,Kommandohistorie,,,Kommandohistorik,,,指令历史记录,,,2310,,,Gesendete Anfragen,,,,
790,4/4/2012,findit.button.devices.sent_commands,Command history,,,Opdracht geschiedenis,,,Kommandohistorie,,,Kommandohistorik,,,指令历史记录,,,2311,,,Gesendete Anfragen,,,,
790,4/4/2012,findit.label.devices.sent_commands.sent,Sent,,,Verzonden,,,Sendt,,,Sänt,,,发送,,,2312,,,Versendet,,,,
790,4/4/2012,findit.label.devices.sent_commands.acked,Confirmed,,,Bevestigd,,,Bekreftet,,,Bekräftat,,,已确认,,,2313,,,Bestätigt,,,,
790,5/29/2012,findit.title.devices.sent_commands.tech_info,Technical Information,,,Technische informatie,,,Teknisk informasjon,,,Teknisk information,,,技术信息,,,2314,,,Technische Informationen,,,,
790,5/29/2012,findit.label.devices.sent_commands.delivered,Delivered,,,Geleverd,,,Levert,,,Levererat,,,已传递,,,2315,,,Gesendet,,,,
790,5/29/2012,findit.label.devices.sent_commands.properties,Sending,,,Bezig met sturen,,,Sending,,,Sänder,,,发送中,,,2316,,,Sende…,,,,
790,5/29/2012,findit.label.devices.sent_commands.properties.sent,Data included with command,,,Gegevens ingevoegd bij commando,,,Data inkludert sammen med kommando,,,Data inkluderat med kommando,,,指令中带有数据,,,2317,,,Daten mit der Nachricht versendet,,,,
790,5/29/2012,findit.label.devices.sent_commands.properties.received,Result,,,Resultaat,,,Resultat,,,Resultat,,,导致,,,2318,,,Resultat,,,,
790,5/29/2012,findit.label.devices.sent_commands.ack_delivery_properties,Delivery,,,Bezorging,,,Levering,,,Leverans,,,传递,,,2319,,,Zustellung,,,,
790,5/29/2012,findit.label.devices.sent_commands.ack_properties,Response,,,Reactie,,,Respons,,,Svar,,,响应,,,2320,,,Antwort,,,,
790,4/4/2012,findit.label.devices.sent_commands.sms_sent,SMS sent,,,SMS gestuurd,,,SMS sendt,,,SMS sänt,,,已发送短信,,,2321,,,SMS versendet,,,,
790,4/4/2012,findit.label.devices.sent_commands.email_sent,Emails sent,,,Email verstuurd,,,Epost sendt,,,Epostmeddelande sänt,,,已发送电邮,,,2322,,,E-Mail versendet,,,,
790,3/9/2012,,,,,,,,,,,,,,,,,2323,,,,,,,
,,,,,,,,,,,,,,,,,,2324,,,,,,,
,,,,,,,,,,,,,,,,,,2325,,,,,,,
,,findit.label.devices.configure.command.changeTimingIntervalReporting,Change fixed reporting interval,,,,,,,,,,,,,,,2326,,,,,,,
,,findit.label.devices.configure.command.description.changeTimingIntervalReporting,Change fixed reporting interval. ....,,,,,,,,,,,,,,,2327,,,,,,,
,,findit.label.devices.configure.command.changeTimingIntervalReporting.parameter.sendInterval,Select intervals in seconds,,,,,,,,,,,,,,,2328,,,,,,,
,,findit.label.devices.configure.command.changeTimingIntervalReporting.value.60,60,,,,,,,,,,,,,,,2329,,,,,,,
,,findit.label.devices.configure.command.changeTimingIntervalReporting.value.120,120,,,,,,,,,,,,,,,2330,,,,,,,
,,findit.label.devices.configure.command.changeTimingIntervalReporting.value.300,300,,,,,,,,,,,,,,,2331,,,,,,,
,,findit.label.devices.configure.command.changeTimingIntervalReporting.value.900,900,,,,,,,,,,,,,,,2332,,,,,,,
,,findit.label.devices.configure.command.changeTimingIntervalReporting.value.3600,3600,,,,,,,,,,,,,,,2333,,,,,,,
,,,,,,,,,,,,,,,,,,2334,,,,,,,
,,findit.label.devices.configure.command.setReportingGL500_GTGBC,Change GSM/GPS report interval power saving mode,,,,,,Endre GSM/GPS rapporterings intervall i strømsparende modus,,,,,,,,,2335,,,,,,,
,,findit.label.devices.configure.command.description.setReportingGL500_GTGBC,Change GSM/GPS report interval power saving mode,,,,,,Endre GSM/GPS rapporterings intervall i strømsparende modus,,,,,,,,,2336,,,,,,,
,,findit.label.devices.configure.command.setReportingGL500_GTGBC.parameter.reportingCode,Select intervals for waking up,,,,,,Velg oppvåkningsintervall,,,,,,,,,2337,,,,,,,
,22/10/2014,findit.label.devices.configure.command.setReportingGL500_GTGBC.parameter.sendInterval,Select intervals in seconds,,,,,,,,,,,,,,,2338,,,,,,,
,22/10/2014,findit.label.devices.configure.command.setReportingGL500_GTGBC.value.1,GSM once a day - 1 GPS position,,,,,,GSM 1 gang pr.døgn - 1 GPS posisjon,,,,,,,,,2339,,,,,,,
,22/10/2014,findit.label.devices.configure.command.setReportingGL500_GTGBC.value.2,GSM twice a day - 2 GPS positions,,,,,,GSM 2 ganger pr.døgn - 2 GPS posisjoner,,,,,,,,,2340,,,,,,,
,22/10/2014,findit.label.devices.configure.command.setReportingGL500_GTGBC.value.3,GSM 3 times a day - 1 GPS position,,,,,,GSM 3 ganger pr.døgn - 1 GPS posisjon,,,,,,,,,2341,,,,,,,
,22/10/2014,findit.label.devices.configure.command.setReportingGL500_GTGBC.value.4,GSM 4 times a day - 1 GPS position,,,,,,GSM 4 ganger pr.døgn - 1 GPS posisjon,,,,,,,,,2342,,,,,,,
,22/10/2014,findit.label.devices.configure.command.setReportingGL500_GTGBC.value.5,GSM 5 times a day - 1 GPS position,,,,,,GSM 5 ganger pr.døgn - 1 GPS posisjon,,,,,,,,,2343,,,,,,,
,22/10/2014,findit.label.devices.configure.command.setReportingGL500_GTGBC.value.6,GSM 7 times a day - 1 GPS position,,,,,,GSM 7 ganger pr.døgn - 1 GPS posisjon,,,,,,,,,2344,,,,,,,
,,,,,,,,,,,,,,,,,,2345,,,,,,,
,,findit.label.devices.configure.command.changeFixedDistanceReporting,Change fixed distance reporting interval,,,,,,,,,,,,,,,2346,,,,,,,
,,findit.label.devices.configure.command.description.changeFixedDistanceReporting,Change fixed distance reporting interval,,,,,,,,,,,,,,,2347,,,,,,,
,,findit.label.devices.configure.command.changeFixedDistanceReporting.parameter.distance,Set distance between reporting,,,,,,,,,,,,,,,2348,,,,,,,
,,findit.label.devices.configure.command.changeFixedMileageReport,Change fixed mileage reporting interval,,,,,,,,,,,,,,,2349,,,,,,,
,,findit.label.devices.configure.command.description.changeFixedMileageReport,Change fixed mileage reporting interval,,,,,,,,,,,,,,,2350,,,,,,,
,,findit.label.devices.configure.command.changeFixedMileageReport.parameter.mileage,Set mileage reporting,,,,,,,,,,,,,,,2351,,,,,,,
,,findit.label.devices.configure.command.changeOptimumReport,Change optimum reporting,,,,,,,,,,,,,,,2352,,,,,,,
,,findit.label.devices.configure.command.description.changeOptimumReport,Change optimum reporting for interval and distance bewen reporting,,,,,,,,,,,,,,,2353,,,,,,,
,,findit.label.devices.configure.command.changeOptimumReport.parameter.optimumDistance,Set optimum reporting distance,,,,,,,,,,,,,,,2354,,,,,,,
,,findit.label.devices.configure.command.setCornerReport,Change grades between reporting,,,,,,,,,,,,,,,2355,,,,,,,
,,findit.label.devices.configure.command.description.setCornerReport,Change grades between reporting,,,,,,,,,,,,,,,2356,,,,,,,
,,findit.label.devices.configure.command.setCornerReport.parameter.grades,Grades between reporting,,,,,,,,,,,,,,,2357,,,,,,,
,,,,,,,,,,,,,,,,,,2358,,,,,,,
,,findit.label.devices.configure.command.changeTowReportingInterval,Tow reporting interval,,,,,,,,,,,,,,,2359,,,,,,,
,,findit.label.devices.configure.command.description.changeTowReportingInterval,Change tow reporting interval,,,,,,,,,,,,,,,2360,,,,,,,
,,findit.label.devices.configure.command.changeTowReportingInterval.parameter.towInterval,Time between reporting,,,,,,,,,,,,,,,2361,,,,,,,
,,,,,,,,,,,,,,,,,,2362,,,,,,,
,,,,,,,,,,,,,,,,,,2363,,,,,,,
,,findit.label.devices.configure.command.clearTimeCounter,Clear time counter,,,,,,,,,,,,,,,2364,,,,,,,
,,findit.label.devices.configure.command.description.clearTimeCounter,Clear time counter,,,,,,,,,,,,,,,2365,,,,,,,
,,,,,,,,,,,,,,,,,,2366,,,,,,,
,,findit.label.devices.configure.command.reboot,Reboot the device,,,,,,,,,,,,,,,2367,,,,,,,
,,findit.label.devices.configure.command.description.reboot,Reboot the device,,,,,,,,,,,,,,,2368,,,,,,,
,,,,,,,,,,,,,,,,,,2369,,,,,,,
,,findit.label.devices.configure.command.getCurrentPosition,Get position,,,,,,,,,,,,,,,2370,,,,,,,
,,findit.label.devices.configure.command.description.getCurrentPosition,Activtes the GPS unit to get a new position,,,,,,,,,,,,,,,2371,,,,,,,
,,,,,,,,,,,,,,,,,,2372,,,,,,,
,,findit.label.devices.configure.command.powerOff,Power off,,,,,,,,,,,,,,,2373,,,,,,,
,,findit.label.devices.configure.command.description.powerOff,Turn power off on the device,,,,,,,,,,,,,,,2374,,,,,,,
,,,,,,,,,,,,,,,,,,2375,,,,,,,
,22/10/2014,findit.label.devices.configure.command.setPowerSave,Set unit in power save mode,,,,,,Sett enhet i strømsparende modus,,,,,,,,,2376,,,,,,,
,22/10/2014,findit.label.devices.configure.command.description.setPowerSave,Set unit in power save mode,,,,,,Sett enhet i strømsparende modus,,,,,,,,,2377,,,,,,,
,,,,,,,,,,,,,,,,,,2378,,,,,,,
,22/10/2014,findit.label.devices.configure.command.enableReporting,Change GPS position interval - rule only,,,,,,Setter GPS til å rapportere - bare regel,,,,,,,,,2379,,,,,,,
,22/10/2014,findit.label.devices.configure.command.description.enableReporting,Change GPS position interval in continues mode,,,,,,Setter GPS til å rapportere posisjoner,,,,,,,,,2380,,,,,,,
,,,,,,,,,,,,,,,,,,2381,,,,,,,
,22/10/2014,findit.label.devices.configure.command.changeReportingInterval,Change automatic GPS position interval in continues mode,,,,,,Endre automatisk GPS posisjon intervall i våken tilstand,,,,,,,,,2382,,,,,,,
,22/10/2014,findit.label.devices.configure.command.description.changeReportingInterval,Change automatic GPS position interval in continues mode (default 1440 min),,,,,,Endre automatisk GPS posisjon intervall i våken tilstand (standard 1440 min),,,,,,,,,2383,,,,,,,
,22/10/2014,findit.label.devices.configure.command.changeReportingInterval.parameter.interval,Reporting interval [1-1440 min] ,,,,,,Rapporteringsinterval [1-1440 min] ,,,,,,,,,2384,,,,,,,
,,,UNITS,,,,,,,,,,,,,,,2385,,,,,,,
